,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260
date,2020-09-11,2020-09-18,2020-09-25,2020-10-02,2020-10-09,2020-10-16,2020-10-23,2020-10-30,2020-11-06,2020-11-13,2020-11-20,2020-11-27,2020-12-04,2020-12-11,2020-12-18,2020-12-28,2021-01-04,2021-01-11,2021-01-19,2021-01-26,2021-02-02,2021-02-09,2021-02-16,2021-02-23,2021-03-02,2021-03-09,2021-03-16,2021-03-23,2021-03-30,2021-04-06,2021-04-13,2021-04-20,2021-04-27,2021-05-04,2021-05-11,2021-05-18,2021-05-25,2021-06-01,2021-06-08,2021-06-15,2021-06-22,2021-06-29,2021-07-06,2021-07-13,2021-07-20,2021-07-27,2021-08-03,2021-08-10,2021-08-17,2021-08-24,2021-08-31,2021-09-07,2021-09-14,2021-09-21,2021-09-28,2021-10-05,2021-10-12,2021-10-19,2021-10-26,2021-11-02,2021-11-09,2021-11-16,2021-11-23,2021-11-30,2021-12-07,2021-12-14,2021-12-21,2021-12-28,2022-01-04,2022-01-11,2022-01-18,2022-01-25,2022-02-01,2022-02-08,2022-02-15,2022-02-22,2022-03-01,2022-03-08,2022-03-15,2022-03-22,2022-03-29,2022-04-05,2022-04-12,2022-04-19,2022-04-26,2022-05-03,2022-05-10,2022-05-17,2022-05-24,2022-05-31,2022-06-07,2022-06-14,2022-06-21,2022-06-28,2022-07-05,2022-07-12,2022-07-19,2022-07-26,2022-08-02,2022-08-09,2022-08-16,2022-08-23,2022-08-30,2022-09-06,2022-09-13,2022-09-20,2022-09-27,2022-10-04,2022-10-11,2022-10-14,2022-10-21,2022-10-28,2022-11-04,2022-11-11,2022-11-18,2022-11-25,2022-12-02,2022-12-09,2022-12-16,2022-12-23,2022-12-30,2023-01-06,2023-01-13,2023-01-20,2023-01-27,2023-02-03,2023-02-10,2023-02-17,2023-02-24,2023-03-03,2023-03-10,2023-03-17,2023-03-24,2023-03-31,2023-04-10,2023-04-17,2023-04-24,2023-05-01,2023-05-08,2023-05-15,2023-05-22,2023-05-30,2023-06-06,2023-06-13,2023-06-20,2023-06-27,2023-07-05,2023-07-12,2023-07-19,2023-07-26,2023-08-02,2023-08-09,2023-08-16,2023-08-23,2023-08-30,2023-09-06,2023-09-13,2023-09-20,2023-09-27,2023-10-04,2023-10-11,2023-10-18,2023-10-25,2023-11-01,2023-11-08,2023-11-15,2023-11-22,2023-11-29,2023-12-06,2023-12-13,2023-12-20,2023-12-27,2024-01-03,2024-01-10,2024-01-17,2024-01-24,2024-01-31,2024-02-07,2024-02-14,2024-02-21,2024-02-28,2024-03-06,2024-03-13,2024-03-20,2024-03-27,2024-04-03,2024-04-10,2024-04-17,2024-04-24,2024-05-01,2024-05-08,2024-05-15,2024-05-22,2024-05-29,2024-06-05,2024-06-12,2024-06-20,2024-06-27,2024-07-05,2024-07-12,2024-07-19,2024-07-26,2024-08-02,2024-08-09,2024-08-16,2024-08-23,2024-08-30,2024-09-06,2024-09-13,2024-09-20,2024-09-27,2024-10-04,2024-10-11,2024-10-18,2024-10-25,2024-11-01,2024-11-08,2024-11-15,2024-11-22,2024-11-29,2024-12-06,2024-12-13,2024-12-20,2024-12-27,2025-01-03,2025-01-10,2025-01-17,2025-01-24,2025-01-31,2025-02-07,2025-02-14,2025-02-21,2025-02-28,2025-03-07,2025-03-14,2025-03-21,2025-03-28,2025-04-04,2025-04-11,2025-04-21,2025-04-28,2025-05-05,2025-05-12,2025-05-19,2025-05-27,2025-06-03,2025-06-10,2025-06-17,2025-06-24,2025-07-01,2025-07-08,2025-07-15,2025-07-22,2025-07-29,2025-08-05,2025-08-12,2025-08-19,2025-08-26,2025-09-02,2025-09-09,2025-09-12
value,300567217300,301178754000,318091759900,322749322500,340057665300,341262207400,335795439600,310341840000,360555120000,329233720000,324052690000,328348550000,335702270000,322208070000,328614720000,319404000000,324690260000,337268340000,322505190000,332656790000,336207400000,353728600000,380190200000,350721600000,332475000000,310502200000,329623000000,325380701700,320426834500,345086819200,390346555700,377693496800,382933966800,357633150000,356511750000,349272490000,389941930000,405311340000,435028440000,443289420000,470657810000,499066610000,515806620000,504630000000,463811040000,478663360000,494582400000,497602560000,486450000000,544825000000,559625000000,566550000000,556050000000,531150000000,517475000000,511275000000,516775000000,557250000000,617925000000,660553020000,767038140000,755075000000,793650000000,816900000000,810675000000,708425000000,726875000000,758050000000,732250000000,695425000000,647575000000,558100000000,617428280000,629206480000,663964700000,586153400000,588333620000,539140840000,576622300000,664150087800,717534493900,649315961100,538463245800,555841105400,470454216100,490834080000,440578800000,455152080000,403850000000,466800000000,473150000000,395900000000,414150000000,399550000000,374100000000,377050000000,424800000000,413325000000,461112140000,425270540000,469898310000,427806900000,385153200000,335278500000,326961900000,328082400000,309083700000,327858300000,288491400000,279552300000,310403400000,344466600000,349370080000,401644200000,379061400000,400242000000,415149600000,418224600000,407646600000,374067600000,359504400000,365531400000,415715400000,438839400000,500979000000,520354816300,524423941600,528283600000,575164200000,590083000000,567235500000,635407500000,661441300000,686091900000,682057834800,667788014600,668783625300,714944300000,720904230000,716007690000,770047200000,990741700000,954753800000,1013243400000,1082057600000,1034337200000,1045229900000,1084379400000,1162801900000,1122664400000,1093001610000,1050658260000,1073669340000,1163765200000,1216820800000,1162406700000,1123479500000,1043303300000,1048959600000,1087812700000,1156108200000,1042241200000,1031941300000,1043734500000,1148514840000,1205578080000,1203285200000,1189058000000,1123924100000,1187773600000,1188341700000,1220599900000,1174954300000,1342445000000,1384509100000,1515641400000,1516025280000,1727239360000,1820896000000,1686800000000,1941575000000,2217500000000,2272200000000,2259300000000,2223513238400,2191829714600,2144402978000,2070392631500,1963023427100,2042670918000,2223985296900,2327741103500,2335612572900,2824504620200,3011820994500,3079712418400,3216971166800,3049948424600,3095209373900,3179089720100,2900882472100,2781088546500,2634765740000,2572869500000,3059933960000,3173446100000,2928146100000,2522419900000,2921523000000,2845480000000,2977942000000,3064287600000,3306644000000,3385140000000,3471976200000,3318383200000,3618116040000,3477090200000,3476355500000,3385742500000,3488355600000,3287782500000,3298803000000,3355374900000,3538070300000,3328435900000,3372517900000,3492763800000,2938953390000,3178093680000,3398631450000,3280092000000,3048048000000,2749636000000,2968748000000,2871880000000,2682162834400,2306508406200,2712978236700,2370095744300,2651659083500,2775791749100,2999669523300,3306221116000,3304513987000,3444010813700,3510832720100,3514734729300,3606919695100,3738612503400,3902009136000,4162955997000,4073453662400,4273141970000,4340096220000,4459396520000,4276307080000,4425554190000,4157980660000,4157493720000,4329383540000
