,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260
date,2020-09-11,2020-09-18,2020-09-24,2020-10-01,2020-10-08,2020-10-15,2020-10-22,2020-10-29,2020-11-05,2020-11-12,2020-11-19,2020-11-27,2020-12-04,2020-12-11,2020-12-18,2020-12-28,2021-01-04,2021-01-11,2021-01-19,2021-01-26,2021-02-02,2021-02-09,2021-02-16,2021-02-23,2021-03-02,2021-03-09,2021-03-16,2021-03-23,2021-03-30,2021-04-06,2021-04-13,2021-04-20,2021-04-27,2021-05-04,2021-05-11,2021-05-18,2021-05-25,2021-06-01,2021-06-08,2021-06-15,2021-06-22,2021-06-29,2021-07-06,2021-07-13,2021-07-20,2021-07-27,2021-08-03,2021-08-10,2021-08-17,2021-08-24,2021-08-31,2021-09-07,2021-09-14,2021-09-21,2021-09-28,2021-10-05,2021-10-12,2021-10-19,2021-10-26,2021-11-02,2021-11-09,2021-11-16,2021-11-23,2021-11-30,2021-12-07,2021-12-14,2021-12-21,2021-12-28,2022-01-04,2022-01-11,2022-01-18,2022-01-25,2022-02-01,2022-02-08,2022-02-15,2022-02-22,2022-03-01,2022-03-08,2022-03-15,2022-03-22,2022-03-29,2022-04-05,2022-04-12,2022-04-19,2022-04-26,2022-05-03,2022-05-10,2022-05-17,2022-05-24,2022-05-31,2022-06-07,2022-06-14,2022-06-21,2022-06-28,2022-07-05,2022-07-12,2022-07-19,2022-07-26,2022-08-02,2022-08-09,2022-08-16,2022-08-23,2022-08-30,2022-09-06,2022-09-13,2022-09-20,2022-09-27,2022-10-04,2022-10-11,2022-10-18,2022-10-25,2022-11-01,2022-11-08,2022-11-15,2022-11-22,2022-11-29,2022-12-06,2022-12-13,2022-12-20,2022-12-27,2023-01-03,2023-01-10,2023-01-17,2023-01-24,2023-01-31,2023-02-07,2023-02-14,2023-02-21,2023-02-28,2023-03-07,2023-03-14,2023-03-21,2023-03-28,2023-04-04,2023-04-11,2023-04-18,2023-04-25,2023-05-02,2023-05-09,2023-05-16,2023-05-23,2023-05-30,2023-06-06,2023-06-13,2023-06-20,2023-06-27,2023-07-05,2023-07-12,2023-07-19,2023-07-26,2023-08-02,2023-08-09,2023-08-16,2023-08-23,2023-08-30,2023-09-06,2023-09-13,2023-09-20,2023-09-27,2023-10-04,2023-10-11,2023-10-18,2023-10-25,2023-11-01,2023-11-08,2023-11-15,2023-11-22,2023-11-29,2023-12-06,2023-12-13,2023-12-20,2023-12-27,2024-01-03,2024-01-10,2024-01-17,2024-01-24,2024-01-31,2024-02-07,2024-02-14,2024-02-21,2024-02-28,2024-03-06,2024-03-13,2024-03-20,2024-03-27,2024-04-03,2024-04-10,2024-04-17,2024-04-24,2024-05-01,2024-05-08,2024-05-15,2024-05-22,2024-05-29,2024-06-05,2024-06-12,2024-06-20,2024-06-27,2024-07-05,2024-07-12,2024-07-19,2024-07-26,2024-08-02,2024-08-09,2024-08-16,2024-08-23,2024-08-30,2024-09-06,2024-09-13,2024-09-20,2024-09-27,2024-10-04,2024-10-11,2024-10-18,2024-10-25,2024-11-01,2024-11-08,2024-11-15,2024-11-22,2024-11-29,2024-12-06,2024-12-13,2024-12-20,2024-12-27,2025-01-03,2025-01-10,2025-01-17,2025-01-24,2025-01-31,2025-02-07,2025-02-14,2025-02-21,2025-02-28,2025-03-07,2025-03-14,2025-03-21,2025-03-28,2025-04-04,2025-04-11,2025-04-21,2025-04-28,2025-05-05,2025-05-12,2025-05-19,2025-05-27,2025-06-03,2025-06-10,2025-06-17,2025-06-24,2025-07-01,2025-07-08,2025-07-15,2025-07-22,2025-07-29,2025-08-05,2025-08-12,2025-08-19,2025-08-26,2025-09-02,2025-09-09,2025-09-12
value,308021386800,299731902600,282391033000,295584254600,310246111500,310063219300,313599134900,296193895200,318079993500,345574785400,352250350200,369503179800,372917167300,364443162600,362980025100,382061776600,383832320500,420974432700,420943938400,401244591500,407711770100,425929263300,441400400800,459587378900,456189935600,461724671200,466833657900,453178891600,468400074700,461758120400,466450168900,451859411500,457853125100,470657877000,479920889000,491454247000,489940683000,502654621000,499476136500,469749738600,454704911900,466601525300,458412919900,465106388000,447356744900,452556135300,456859079100,475893629000,469170279400,471142461900,477955456200,475744221200,469349568700,457128013100,496272848800,498435180400,488682802300,498169206500,506532609500,503784212100,495834546300,488682802300,497312179300,469384914700,480437609900,470271494500,461287485500,468823414100,494116543500,493115532800,445361434400,431406167600,446317080400,460490563600,456858608500,448443102800,402910788000,378845394700,391188136300,419270025900,415036756800,391626313700,386339622800,385106061600,361315952500,361345323000,349185933900,358848830100,371125701200,388366187600,382022158500,334999980000,340198559400,340169188900,330266303700,331292704000,335955494100,332612361600,329709114900,338360203500,362553925800,338770763600,335515608300,333550784800,341322101600,339679861100,310412788500,330776964000,299069072000,348581488000,359903640000,375889580000,385569140000,389939608000,396099328000,400557792000,385979788000,393283456000,383339908000,386419768000,396476913900,406688131100,413143498200,406247992400,411952035800,422813017600,421488507600,410980728500,421930010900,408007939400,396234517400,382702233600,377806693700,375280289200,375572518000,413211593900,402311457800,405964318400,398629374300,392521791300,399155386200,401697777200,407191679600,415023412800,416513779900,406782559200,420336177800,430536537200,448263657500,458464016900,451605655600,446926858300,436464951200,428269790700,430565598000,421266125100,425479948800,430972450000,423649115000,414426039800,422520863000,421827021100,405897565300,401676693200,418386721200,432899582800,443278302600,446140400900,451893507400,465625796800,481497432400,489736806000,492857917900,491966153800,480660885500,490470291300,502221574700,505303572200,507031795100,521059204400,531082897200,545916810400,551245497700,565503336600,573039496600,569451744600,561324924400,517129955400,554461638100,550958203300,561841824600,580392799300,569480461200,568906127700,566465210000,550010552900,570514261700,571950095600,582661278900,583088053600,596858650800,603857755900,566586098400,585534895300,608779890900,621127905700,639593024600,604483692200,581324051500,600585816500,598907169400,594656199300,625822017500,634493265900,625878324300,627651988800,667179368000,690631153500,699752856400,703046804700,696402601300,675512775600,668924879000,678975644300,680605090900,671065205300,725031302900,740921786700,747399160500,771166062400,773374986200,738843075900,739989479400,677440585900,649926901900,672455396000,675850651500,584383701700,656417302400,636380178200,675926402600,701882954700,722698219700,736121147600,737260568000,739984060600,746459303300,749016051400,781642381400,798556030100,777575407800,787941980000,801360779100,816786898500,801195793800,805265429600,799243468600,820994021900,824101243800,819014199100,843926969400
