Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-14 00:00:00+02:00,6.488689463861841,6.491075217773345,6.36305062747013,6.430641174316406,10504379,0.0,0.0
2020-09-15 00:00:00+02:00,6.401219607249342,6.458472392267167,6.312159171750105,6.3217010498046875,15911548,0.0,0.0
2020-09-16 00:00:00+02:00,6.321700625912695,6.3328335113796115,6.178567914620513,6.297845363616943,16899514,0.0,0.0
2020-09-17 00:00:00+02:00,6.202423678941174,6.245363455262087,6.138808760156504,6.208785057067871,14312134,0.0,0.0
2020-09-18 00:00:00+02:00,6.17618308492332,6.219917989105532,6.013170342049418,6.014760971069336,30822398,0.0,0.0
2020-09-21 00:00:00+02:00,5.947965016381671,5.960687772367821,5.6434102058410645,5.6434102058410645,26915628,0.0,0.0
2020-09-22 00:00:00+02:00,5.6497721162500785,5.687940766977974,5.497097134165905,5.537651538848877,24404693,0.0,0.0
2020-09-23 00:00:00+02:00,5.583771352086384,5.644205391604174,5.363505840301514,5.363505840301514,20876425,0.0,0.0
2020-09-24 00:00:00+02:00,5.276831287939711,5.6187596325008125,5.195722483431862,5.485964298248291,23903978,0.0,0.0
2020-09-25 00:00:00+02:00,5.5352654626915125,5.590133250393369,5.3547592227891485,5.359529972076416,17807615,0.0,0.0
2020-09-28 00:00:00+02:00,5.486759340293559,5.65136194229126,5.480397962178069,5.65136194229126,17753404,0.0,0.0
2020-09-29 00:00:00+02:00,5.613988488680227,5.706229799598875,5.575024715465279,5.584566593170166,14510941,0.0,0.0
2020-09-30 00:00:00+02:00,5.52651824470157,5.67760296578651,5.510614609806974,5.602060794830322,13734360,0.0,0.0
2020-10-01 00:00:00+02:00,5.679989031901378,5.707025174791619,5.513000666739353,5.5328803062438965,12573139,0.0,0.0
2020-10-02 00:00:00+02:00,5.439048305219658,5.626711419747419,5.413602414195422,5.525722980499268,14525154,0.0,0.0
2020-10-05 00:00:00+02:00,5.602060770371747,5.6609041813075835,5.550373862396834,5.615578651428223,14616531,0.0,0.0
